Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-08-05;0;24,4;71,7;
2024-08-06;0;23,7;69,4;
2024-08-07;0;23,6;69,7;
2024-08-08;0;22,9;67,9;
2024-08-09;0;23,1;66,6;
2024-08-10;2;20,8;84,3;
2024-08-11;3,2;18;76,9;
2024-08-12;2;19,9;66,8;
2024-08-13;0;17,9;65,8;
2024-08-14;0;17,8;68,7;
2024-08-15;0;22;66,8;
2024-08-16;0;22,2;67,9;
2024-08-17;0;24,1;63,3;
2024-08-18;0;23,2;61,8;
2024-08-19;0;23,3;65;
2024-08-20;0;23,9;63,3;
2024-08-21;0;24;66,7;
2024-08-22;0;24,1;69;
2024-08-23;0;24,1;66,3;
2024-08-24;0;23,3;72,1;
2024-08-25;0;24,1;68,1;
2024-08-26;4,6;17,7;90,3;
2024-08-27;5,2;17,6;83,8;
2024-08-28;0;20,6;66,6;
2024-08-29;0;21,8;65,2;
2024-08-30;0;21,1;67,3;
2024-08-31;0;22,8;61,3;
2024-09-01;0;24,7;65,5;
2024-09-02;0;24;64,3;
2024-09-03;0;24,3;69,8;
2024-09-04;0;25;68,8;
2024-09-05;0;25,6;67,2;
2024-09-06;0;null;77,9;
2024-09-07;null;null;null;
2024-09-08;null;null;null;
2024-09-09;null;null;null;
2024-09-10;null;null;null;
2024-09-11;null;null;null;
2024-09-12;null;null;null;
2024-09-13;null;null;null;
2024-09-14;null;null;null;
2024-09-15;null;null;null;
2024-09-16;null;null;null;
2024-09-17;null;null;null;
2024-09-18;null;null;null;
2024-09-19;null;null;null;
2024-09-20;null;null;null;
2024-09-21;null;null;null;
2024-09-22;null;null;null;
2024-09-23;null;null;null;
2024-09-24;null;null;null;
2024-09-25;null;null;null;
2024-09-26;null;null;null;
2024-09-27;null;null;null;
2024-09-28;null;null;null;
2024-09-29;null;null;null;
2024-09-30;null;null;null;
2024-10-01;null;null;null;
2024-10-02;null;null;null;
2024-10-03;null;null;null;
2024-10-04;null;null;null;
2024-10-05;null;null;null;
2024-10-06;null;null;null;
2024-10-07;null;null;null;
2024-10-08;null;null;null;
2024-10-09;null;null;null;
2024-10-10;null;null;null;
2024-10-11;null;null;null;
2024-10-12;null;null;null;
2024-10-13;null;null;null;
2024-10-14;null;null;null;
2024-10-15;null;null;null;
2024-10-16;null;null;null;
2024-10-17;null;null;null;
2024-10-18;null;null;null;
2024-10-19;null;null;null;
2024-10-20;null;null;null;
2024-10-21;null;null;null;
2024-10-22;null;null;null;
2024-10-23;null;null;null;
2024-10-24;null;null;null;
2024-10-25;null;null;null;
2024-10-26;null;null;null;
2024-10-27;null;null;null;
2024-10-28;null;null;null;
2024-10-29;null;null;null;
2024-10-30;null;null;null;
2024-10-31;null;null;null;
2024-11-01;null;null;null;
2024-11-02;null;null;null;
2024-11-03;null;null;null;
2024-11-04;null;null;null;
2024-11-05;null;null;null;
2024-11-06;null;null;null;
2024-11-07;null;null;null;
2024-11-08;null;null;null;
2024-11-09;null;null;null;
2024-11-10;null;null;null;
2024-11-11;null;null;null;
2024-11-12;null;null;null;
2024-11-13;null;null;null;
2024-11-14;null;null;null;
2024-11-15;null;null;null;
2024-11-16;null;null;null;
2024-11-17;null;null;null;
2024-11-18;null;null;null;
2024-11-19;null;null;null;
2024-11-20;null;null;null;
2024-11-21;null;null;null;
2024-11-22;null;null;null;
2024-11-23;null;null;null;
2024-11-24;null;null;null;
2024-11-25;null;null;null;
2024-11-26;null;null;null;
2024-11-27;null;null;null;
2024-11-28;null;null;null;
2024-11-29;null;null;null;
2024-11-30;null;null;null;
2024-12-01;null;null;null;
2024-12-02;null;null;null;
2024-12-03;null;null;null;
2024-12-04;null;null;null;
2024-12-05;null;null;null;
2024-12-06;null;null;null;
2024-12-07;null;null;null;
2024-12-08;null;null;null;
2024-12-09;null;null;null;
2024-12-10;null;null;null;
2024-12-11;20,6;24,3;81,9;
2024-12-12;1,6;23,7;74,5;
2024-12-13;1,4;24,2;77,1;
2024-12-14;0;26,4;76,3;
2024-12-15;26,6;24,8;84,2;
2024-12-16;0;27,2;79;
2024-12-17;0;26,5;78,3;
2024-12-18;22,8;25,2;74,5;
2024-12-19;0;26,2;73,3;
2024-12-20;0;27,6;73,2;
2024-12-21;2,4;26,2;78,8;
2024-12-22;1,8;26,1;84,2;
2024-12-23;34,8;25,7;84,7;
2024-12-24;31,8;25,7;80,4;
2024-12-25;4;26,1;80,3;
2024-12-26;14;27,7;75;
2024-12-27;2;26,8;80,6;
2024-12-28;45,2;24,8;88,4;
2024-12-29;57;24,8;85,5;
2024-12-30;29,2;24,2;82,8;
2024-12-31;2;26;77,2;

